,antecedents,consequents,support,confidence,lift
0,"frozenset({'HARMONY MELON', 'HARMONY LEMON', 'HARMONY ORANGE'})",frozenset({'HARMONY STRAWBERY'}),0.00011333646357851789,1,1235.26
1,"frozenset({'DELFI TOP TRIP/CHO 9GR', 'MOMOGI JGG BKR 6GR'})",frozenset({'MOMOGI CKL 6GR'}),0.00011333646357851789,1,686.2555555555555
2,"frozenset({'INDOMILK KID VNL 115ML', 'CLOUD 9 VANILA 15 4G', 'INDOMILK KID STR 115ML'})",frozenset({'CLOUD 9 CHOCO 15 4G'}),0.00011333646357851789,1,571.8796296296297
3,"frozenset({'CLOUD 9 VANILA 15 4G', 'INDOMILK KID STR 115ML'})",frozenset({'CLOUD 9 CHOCO 15 4G'}),0.00014571831031523727,1,571.8796296296297
4,"frozenset({'INDOMILK KID VNL 115ML', 'CLOUD 9 VANILA 15 4G'})",frozenset({'CLOUD 9 CHOCO 15 4G'}),0.00014571831031523727,1,571.8796296296297
5,"frozenset({'EKONOMI E900K', 'NUVO SOAP YLOW 72G'})",frozenset({'NUVO SOAP BLUE 72G'}),0.00011333646357851789,1,388.44654088050316
6,"frozenset({'INDOMILK STR 190ML BTL', 'INDOMILK KID CKL 115ML', 'WALLS POPULAIRE STR'})",frozenset({'INDOMILK KID VNL 115ML'}),0.00011333646357851789,1,348.94350282485874
7,"frozenset({'TONGTJI JASMINE 5 S', 'INDOMIE GRG SPECIAL', 'INDOMIE AYAM BAWANG'})",frozenset({'INDOMIE AYAM SPECIAL'}),0.00011333646357851789,1,284.6221198156682
8,"frozenset({'KRIPIK SGKG TURBO 180G', 'TWISTER MINI CPP 20GR'})",frozenset({'OREO SOFT CAKE 16GR'}),0.00011333646357851789,1,236.639846743295
9,"frozenset({'INDOMILK KID VNL 115ML', 'TEH GELAS ORI 170ML', 'WALLS POPULAIRE STR'})",frozenset({'INDOMILK KID CKL 115ML'}),0.00016190923368359698,1,183.81845238095238
10,"frozenset({'INDOMILK KID VNL 115ML', 'INDOMILK STR 190ML BTL', 'WALLS POPULAIRE STR'})",frozenset({'INDOMILK KID CKL 115ML'}),0.00011333646357851789,1,183.81845238095238
11,"frozenset({'INDOMILK KID VNL 115ML', 'YA KOPI SPESIAL 60GR'})",frozenset({'INDOMILK KID STR 115ML'}),0.00011333646357851789,1,174.47175141242937
12,"frozenset({'WAFELLO COCONUT 37 5G', 'INDOMIE GRG SPECIAL'})",frozenset({'INDOMIE SOTO MIE'}),0.00011333646357851789,1,158.36666666666667
13,"frozenset({'HERS PROT SCM 60 S', 'PARAMEX SKT KEPALA'})",frozenset({'PUCUK HARUM TEH 350ML'}),0.00012952738694687758,1,45.413970588235294
14,"frozenset({'BIG BLUEBRRY 375ML', 'PARAMEX SKT KEPALA'})",frozenset({'PUCUK HARUM TEH 350ML'}),0.00012952738694687758,1,45.413970588235294
15,"frozenset({'SUNSILK SHP BLK SHN 160ML', 'CIPTADENT PG FRS 190ML'})",frozenset({'INDOMIE GRG SPECIAL'}),0.00012952738694687758,1,31.640881147540984
16,"frozenset({'INDOMIE SOTO MIE', 'WAFELLO COCONUT 37 5G'})",frozenset({'INDOMIE GRG SPECIAL'}),0.00011333646357851789,1,31.640881147540984
17,"frozenset({'INDOMIE SOTO MIE', 'ROMA KELAPA 300GR'})",frozenset({'INDOMIE GRG SPECIAL'}),0.00012952738694687758,1,31.640881147540984
