,antecedents,consequents,support,confidence,lift
0,"frozenset({'SAKINAH 1500ML', 'GREENFIELDS COKLAT 105ML'})",frozenset({'GREENFIELDS STRAW 105ML'}),0.0001093801271934622,1,4922.846153846154
1,"frozenset({'CLOUD 9 CHOCO 15 4G', 'INDOMILK KID CKL 115ML', 'BISKUAT BOLU CKL 16GR'})","frozenset({'INDOMILK KID VNL 115ML', 'CLOUD 9 VANILA 15 4G'})",0.00014063159210587995,1,2206.793103448276
2,"frozenset({'FRESHCARE ORIGINAL 10ML', 'GATSBY SPL/C GS 175ML'})",frozenset({'GATSBY SPL/C DO 175ML'}),0.00014063159210587995,1,1185.1296296296296
3,"frozenset({'KISPRAY POUCH GLAM/GLD 300ML', 'INDOMILK KID STR 115ML'})",frozenset({'SOKLIN LIQ LAVENDER 625ML'}),0.0001093801271934622,1,831.1298701298701
4,"frozenset({'SEDAAP MIE CUP KARE', 'SEDAAP MIE CUP BASO SPC', 'SEDAAP MIE CUP BASO BLEDUK'})",frozenset({'SEDAAP MIE CUP SOTO'}),0.00012500585964967108,1,780.4512195121952
5,"frozenset({'SEDAAP MIE CUP AYM JERIT /12', 'SEDAAP MIE CUP KARE', 'SEDAAP MIE CUP BASO BLEDUK'})",frozenset({'SEDAAP MIE CUP SOTO'}),0.0001093801271934622,1,780.4512195121952
6,"frozenset({'NUVO SOAP RED 72G', 'ATTACK JAZ 1 CINTA 1 6 KG'})",frozenset({'NUVO SOAP BLUE 72G'}),0.0001093801271934622,1,484.82575757575756
7,"frozenset({'CLOUD 9 CHOCO 15 4G', 'INDOMILK KID VNL 115ML', 'INDOMILK KID CKL 115ML', 'BISKUAT BOLU CKL 16GR'})",frozenset({'CLOUD 9 VANILA 15 4G'}),0.00014063159210587995,1,378.6804733727811
8,"frozenset({'CLOUD 9 CHOCO 15 4G', 'INDOMILK KID CKL 115ML', 'BISKUAT BOLU CKL 16GR'})",frozenset({'CLOUD 9 VANILA 15 4G'}),0.00014063159210587995,1,378.6804733727811
9,"frozenset({'DELFI TOP TRIP/CHO 9GR', 'DELFI TOP STR 9GR', 'MOMOGI JGG BKR 6GR'})",frozenset({'DELFI TOP B/WHITE 9GR'}),0.0001093801271934622,1,353.57458563535914
10,"frozenset({'MR POTATO CRIPS ORI 35G', 'DELFI TOP CHO 9GR'})","frozenset({'INDOMILK KID VNL 115ML', 'INDOMILK KID CKL 115ML'})",0.0001093801271934622,1,275.8491379310345
11,"frozenset({'BISKUAT BOLU CKL 16GR', 'INDOMILK KID STR 115ML', 'CLOUD 9 VANILA 15 4G'})","frozenset({'INDOMILK KID VNL 115ML', 'INDOMILK KID CKL 115ML'})",0.00012500585964967108,1,275.8491379310345
12,"frozenset({'WALLS CORN STRW VANILA', 'WALLS POPULAIRE STR'})",frozenset({'WALLS POPULAIRE CKL'}),0.00018750878947450662,1,238.79477611940297
13,"frozenset({'WALLS CORN STRW VANILA', 'WALLS POPULAIRE STR', 'WALLS CORN B/WHITE 82GR'})",frozenset({'WALLS POPULAIRE CKL'}),0.00012500585964967108,1,238.79477611940297
14,"frozenset({'NEXTAR BROWNIES 42GR', 'INDOMILK KID VNL 115ML', 'INDOMILK KID CKL 115ML'})",frozenset({'INDOMILK KID STR 115ML'}),0.0001093801271934622,1,124.994140625
15,"frozenset({'TEH GELAS ORI 170ML', 'INDOMILK KID CKL 115ML', 'INDOMILK KID STR 115ML'})",frozenset({'INDOMILK KID VNL 115ML'}),0.0002187602543869244,1,122.8349328214971
16,"frozenset({'INDOMILK KID CKL 115ML', 'BISKUAT BOLU CKL 16GR', 'INDOMILK KID STR 115ML'})",frozenset({'INDOMILK KID VNL 115ML'}),0.00025001171929934216,1,122.8349328214971
17,"frozenset({'NEXTAR PINEAPLE 112G', 'INDOMILK KID CKL 115ML', 'INDOMILK KID STR 115ML'})",frozenset({'INDOMILK KID VNL 115ML'}),0.00014063159210587995,1,122.8349328214971
18,"frozenset({'NEXTAR BROWNIES 42GR', 'INDOMILK KID CKL 115ML', 'INDOMILK KID STR 115ML'})",frozenset({'INDOMILK KID VNL 115ML'}),0.0001093801271934622,1,122.8349328214971
